country	sample	age	period	type	longitude	latitude	data	color
EURw2_DE	URB001_TE	1500	1500-3000	ancient	9.8348	49.275	enrich	black
EURs2_BU	VKP001_TE	897	100-1500	ancient	26.819494	43.164038	enrich	grey
EURs2_BU	VKP002_TE	1176	100-1500	ancient	26.819494	43.164038	enrich	grey
EURs2_BU	VKP003_TE	1178	100-1500	ancient	26.819494	43.164038	enrich	grey
EURw2_DE	WMP001_TE	1826	1500-3000	ancient	9.1571	49.2285	enrich	black
EURw2_DE	WMP003_TE	1500	1500-3000	ancient	9.1571	49.2285	enrich	black
EURw2_DE	WMP005_TE	2096	1500-3000	ancient	9.1571	49.2285	enrich	black
EURw2_DE	WMP006_TE	1926	1500-3000	ancient	9.1571	49.2285	enrich	black
RUS	A07	0	present	present	49.669	58.597	wgs	NA
RUS	A08	0	present	present	49.669	58.597	wgs	NA
RUS	A09	0	present	present	49.669	58.597	wgs	NA
RUS	A10	0	present	present	70.45	56.267	wgs	NA
RUS	A11	0	present	present	83.096	54.847	wgs	NA
RUS	A12	0	present	present	83.096	54.847	wgs	NA
EURs2_BU	B01	0	present	present	23.326	42.679	wgs	NA
EURs2_BU	B02-b	0	present	present	23.326	42.679	wgs	NA
EURs2_BU	B03	0	present	present	23.326	42.679	wgs	NA
EURs2_BU	B04	0	present	present	23.326	42.679	wgs	NA
EURs2_BU	B05	0	present	present	25.627	42.416	wgs	NA
EURs2_BU	B06	0	present	present	25.627	42.416	wgs	NA
EURs2_BU	B07-b	0	present	present	23.326	42.679	wgs	NA
IRE	I01	0	present	present	-5.629	54.313	wgs	NA
IRE	I02	0	present	present	-5.629	54.313	wgs	NA
IRE	I03	0	present	present	-5.629	54.313	wgs	NA
IRE	I04	0	present	present	-5.629	54.313	wgs	NA
IRE	I05	0	present	present	-5.629	54.313	wgs	NA
IRE	I06	0	present	present	-5.629	54.313	wgs	NA
IRQ	IRQ641313	0	present	present	44.3614	33.94	wgs	NA
IRQ	IRQ641314	0	present	present	44.3614	33.94	wgs	NA
IRQ	IRQ641315	0	present	present	44.3614	33.94	wgs	NA
IRQ	IRQ641341	0	present	present	44.3614	33.94	wgs	NA
IRQ	IRQ645931	0	present	present	44.3614	33.94	wgs	NA
EURs1_IT	IT1	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT2	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT3	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT4	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT5	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT6	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT7	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT8	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT9	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT10	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT11	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT12	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT13-b	0	present	present	12.46	41.91	wgs	NA
EURs1_IT	IT14	0	present	present	12.46	41.91	wgs	NA
EURe1_PL	P01	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P02	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P03	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P04	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P05	0	present	present	21.012	52.229	wgs	NA
